Address,Grocery,Schools,Coffee,Pharmacy,Stores
<redacted>,"Foodland - Whitby -- 0.9 km (10 mins)
Sobeys Whitby -- 1.5 km (18 mins)
Metro -- 1.2 km (15 mins)
","Anderson Night School -- 1.1 km (13 mins)
Anderson CVI -- 1.1 km (13 mins)
Pringle Creek PS -- 1.3 km (15 mins)
St Theresa Catholic School -- 1.1 km (13 mins)
C.E. Broughton Public School -- 1.5 km (18 mins)
","Coffee Culture Cafe & Eatery -- 0.9 km (12 mins)
Starbucks -- 1.4 km (17 mins)
Coffee Time -- 1.5 km (18 mins)
","Pharmasave Pringle Creek -- 0.9 km (11 mins)
Sobeys Pharmacy Whitby -- 1.4 km (18 mins)
Metro Pharmacy -- 1.2 km (15 mins)
Total Health Pharmacy -- 1.6 km (20 mins)
Glen Hill Pharmacy -- 1.4 km (18 mins)
","Hasty Market -- 1.4 km (18 mins)
Foodland - Whitby -- 0.9 km (10 mins)
Anderson Jug City -- 0.9 km (11 mins)
The Brick Outlet -- 0.9 km (11 mins)
Enjoy Convenience -- 1.1 km (13 mins)
Mega Clothing Outlet -- 1.0 km (11 mins)
Today's Natural Solutions -- 1.2 km (15 mins)
Rogers -- 1.1 km (14 mins)
S & H Health Foods -- 1.5 km (18 mins)
Dollarama -- 1.2 km (15 mins)
Sobeys Whitby -- 1.5 km (18 mins)
Bentley -- 1.4 km (17 mins)
Urban Planet -- 1.5 km (18 mins)
Topaz Women's Clothing, Whitby -- 1.5 km (18 mins)
London Shoes -- 1.5 km (18 mins)
Thickson Convenience -- 1.4 km (17 mins)
Euro comfort footwear -- 1.5 km (19 mins)
Talize Thrift Store -- 1.6 km (19 mins)
"
<redacted>,"Zam Zam Halal Food Market -- 0.6 km (8 mins)
FreshCo Hwy 2 & Kendalwood -- 0.7 km (9 mins)
M&M Food Market -- 0.7 km (9 mins)
Sobeys Whitby -- 1.4 km (18 mins)
","Meadowcrest Community School -- 1.0 km (12 mins)
","Tim Hortons -- 0.6 km (8 mins)
Coffee Time -- 1.6 km (20 mins)
","I.D.A. - East Whitby Pharmacy -- 0.5 km (6 mins)
Shoppers Drug Mart -- 0.7 km (9 mins)
Sobeys Pharmacy Whitby -- 1.4 km (18 mins)
Total Health Pharmacy -- 1.5 km (18 mins)
","Big Al's Aquarium Supercentres - Whitby -- 0.4 km (6 mins)
Scratch & Dent Furn Centre -- 0.5 km (7 mins)
Zam Zam Halal Food Market -- 0.6 km (8 mins)
Play It Again Sports -- 0.7 km (8 mins)
Dollarama -- 0.6 km (7 mins)
Value Village -- 0.6 km (8 mins)
FreshCo Hwy 2 & Kendalwood -- 0.7 km (9 mins)
Munchies Gift & Variety -- 1.1 km (13 mins)
M&M Food Market -- 0.7 km (9 mins)
Beer Store -- 0.8 km (11 mins)
Sobeys Whitby -- 1.4 km (18 mins)
S & H Health Foods -- 1.4 km (17 mins)
London Shoes -- 1.6 km (20 mins)
Urban Planet -- 1.5 km (19 mins)
Talize Thrift Store -- 1.5 km (19 mins)
Enjoy Convenience -- 1.5 km (19 mins)
"
<redacted>,no results,"Fallingbrook Public School -- 0.2 km (3 mins)
St. Bernard's Catholic Elementary School -- 1.1 km (13 mins)
Father Leo J Austin Catholic Secondary School -- 1.0 km (13 mins)
Sinclair Secondary school -- 1.0 km (13 mins)
Sinclair Secondary School -- 1.0 km (13 mins)
Sinclair Secondary School -- 1.2 km (16 mins)
Ormiston Public School -- 1.0 km (12 mins)
Whitby Montessori & Elementary School -- 1.1 km (14 mins)
Saint Matthew the Evangelist Catholic School -- 1.4 km (18 mins)
Little Blessings Nursery School -- 1.4 km (18 mins)
Glen Dhu Public School -- 1.4 km (17 mins)
","Second Cup -- 0.7 km (10 mins)
Panera Bread -- 0.7 km (10 mins)
McDonald's -- 1.0 km (13 mins)
","Meadowglen Medical Clinic and Pharmacy -- 0.6 km (7 mins)
Remedy'sRx - Dryden Medical Pharmacy -- 0.6 km (8 mins)
Shoppers Drug Mart -- 0.9 km (12 mins)
","Garden Jug City -- 0.6 km (7 mins)
Carter's -- 0.7 km (10 mins)
OshKosh B'gosh -- 0.7 km (10 mins)
Winners -- 0.8 km (10 mins)
Kitchen Stuff Plus -- 0.7 km (9 mins)
Canadian Tire -- 0.8 km (11 mins)
Party City -- 0.8 km (10 mins)
HomeSense -- 0.8 km (10 mins)
Sport Chek -- 0.8 km (11 mins)
Staples -- 0.8 km (11 mins)
Mark's -- 0.9 km (12 mins)
Dollarama -- 0.9 km (12 mins)
"
<redacted>,"Food Basics -- 0.7 km (9 mins)
Sobeys Ajax -- 1.4 km (17 mins)
","Westney Heights PS -- 0.2 km (3 mins)
Lester B. Pearson Public School -- 0.7 km (9 mins)
Saint Jude Catholic School -- 1.1 km (13 mins)
Applecroft Public School -- 1.1 km (14 mins)
St Patrick Catholic Elementary School Ajax -- 1.5 km (19 mins)
Dr.Roberta Bondar PS -- 1.3 km (17 mins)
St. Catherine of Siena Catholic School -- 1.4 km (18 mins)
","Starbucks -- 1.4 km (17 mins)
","Rexall -- 0.8 km (10 mins)
Shoppers Drug Mart -- 1.2 km (15 mins)
Shoppers Drug Mart -- 1.2 km (15 mins)
Health Square Drug Store -- 1.3 km (16 mins)
Sobeys Pharmacy Ajax -- 1.5 km (18 mins)
","Corner Store -- 0.4 km (6 mins)
The Corner Store -- 0.8 km (9 mins)
Westney At #2 Food Mart -- 1.3 km (16 mins)
Dollarama -- 1.4 km (17 mins)
BSW Beauty - Ajax -- 1.3 km (16 mins)
The Wine Shop -- 1.4 km (17 mins)
Sobeys Ajax -- 1.4 km (17 mins)
"
<redacted>,"C & H Variety Store -- 0.8 km (10 mins)
Nofrills -- 1.2 km (16 mins)
Nadim's No Frills -- 1.2 km (16 mins)
Durham Supermarket & Convenience Store -- 1.3 km (16 mins)
Durham Super Market & Convenience -- 1.3 km (16 mins)
","Walter E Harris PS -- 0.5 km (6 mins)
Sir Albert Love Catholic School -- 0.9 km (11 mins)
Great Beginnings Montessori School -- 0.8 km (9 mins)
Coronation PS -- 0.7 km (9 mins)
Hillsdale Public School -- 0.9 km (11 mins)
","Tim Hortons -- 1.0 km (12 mins)
Panera Bread -- 1.3 km (16 mins)
Coffee Culture Café & Eatery -- 1.5 km (19 mins)
","Shoppers Drug Mart -- 1.5 km (19 mins)
","C & H Variety Store -- 0.8 km (10 mins)
Ritson Convenience -- 0.9 km (11 mins)
Circle K -- 1.6 km (19 mins)
Nofrills -- 1.2 km (16 mins)
Nadim's No Frills -- 1.2 km (16 mins)
Durham Supermarket & Convenience Store -- 1.3 km (16 mins)
Durham Super Market & Convenience -- 1.3 km (16 mins)
Factory Direct -- 1.3 km (16 mins)
Sally Beauty -- 1.3 km (17 mins)
Dollarama -- 1.3 km (17 mins)
"
<redacted>,"Metro -- 0.9 km (12 mins)
","catholic school -- 1.2 km (14 mins)
Little Blessings Nursery School -- 1.3 km (16 mins)
Sinclair Secondary School -- 1.2 km (15 mins)
Sinclair Secondary school -- 1.2 km (15 mins)
Sir Samuel Steele P.S. -- 1.6 km (19 mins)
","Starbucks -- 0.6 km (7 mins)
Tim Hortons -- 0.8 km (10 mins)
","The Medicine Shoppe Pharmacy -- 0.6 km (7 mins)
Metro Pharmacy -- 0.9 km (11 mins)
Shoppers Drug Mart -- 0.9 km (12 mins)
","Major Airsoft Armaments -- 0.6 km (8 mins)
Sherwin-Williams Paint Store -- 0.6 km (7 mins)
Dollar Tree -- 0.8 km (9 mins)
Circle K -- 0.8 km (10 mins)
Metro -- 0.9 km (12 mins)
Wine Rack -- 0.9 km (11 mins)
Sport Chek -- 1.5 km (19 mins)
Staples -- 1.5 km (19 mins)
"
<redacted>,"Food Basics -- 0.8 km (9 mins)
Real Canadian Superstore -- 1.2 km (15 mins)
Panchvati Supermarket -- 1.5 km (18 mins)
Crys-Lee West Indian Market -- 1.6 km (20 mins)
M&M Food Market -- 1.6 km (20 mins)
Sobeys Ajax -- 1.6 km (19 mins)
","Applecroft Public School -- 0.6 km (6 mins)
Saint Jude Catholic School -- 0.5 km (6 mins)
Terry Fox Public School -- 0.5 km (7 mins)
Dr.Roberta Bondar PS -- 0.6 km (7 mins)
St. Catherine of Siena Catholic School -- 1.0 km (12 mins)
Saint Teresa of Calcutta Catholic School -- 1.3 km (15 mins)
Lester B. Pearson Public School -- 1.6 km (19 mins)
Westney Heights PS -- 1.5 km (19 mins)
","Purple Bubble Asian Cuisine -- 1.1 km (14 mins)
Starbucks -- 1.5 km (18 mins)
Harwood Blues Bar & Coffee House -- 1.4 km (18 mins)
Starbucks -- 1.7 km (20 mins)
","Rexall -- 1.0 km (12 mins)
Loblaw pharmacy -- 1.1 km (13 mins)
Pharmacy -- 1.3 km (16 mins)
Costco Wholesale Pharmacy -- 1.6 km (19 mins)
Sobeys Pharmacy Ajax -- 1.7 km (20 mins)
","Value Village -- 1.2 km (15 mins)
Winners -- 1.0 km (13 mins)
La Vie en Rose Durham Centre Outlet -- 1.2 km (15 mins)
Gap Factory -- 1.1 km (13 mins)
Ricki's -- 1.2 km (15 mins)
Mark's -- 1.1 km (13 mins)
The Corner Store -- 0.9 km (10 mins)
Marshalls -- 1.2 km (15 mins)
HomeSense -- 1.1 km (14 mins)
Ardene -- 1.2 km (14 mins)
Best Buy -- 1.4 km (17 mins)
Sport Chek -- 1.2 km (15 mins)
Real Canadian Superstore -- 1.2 km (15 mins)
GUESS Factory -- 1.4 km (17 mins)
Reitmas -- 1.4 km (18 mins)
Roots -- 1.4 km (18 mins)
Banana Republic Factory Store -- 1.5 km (18 mins)
Michaels -- 1.5 km (18 mins)
Dynamite -- 1.6 km (19 mins)
"
<redacted>,"Nadim's No Frills -- 1.4 km (16 mins)
M&M Food Market -- 1.5 km (18 mins)
","Saint Matthew the Evangelist Catholic School -- 0.2 km (3 mins)
Ormiston Public School -- 0.7 km (9 mins)
School -- 1.0 km (12 mins)
Elementary public school -- 1.0 km (12 mins)
Jack Miner Public School -- 1.2 km (15 mins)
Whitby Montessori & Elementary School -- 1.5 km (18 mins)
Glen Dhu Public School -- 1.6 km (19 mins)
","Starbucks -- 1.5 km (18 mins)
","Shoppers Drug Mart -- 1.3 km (16 mins)
Whitby Medical Pharmacy -- 1.4 km (17 mins)
Philips Pharmacy -- 1.5 km (18 mins)
","Mac's -- 1.0 km (13 mins)
Garden Jug City -- 1.1 km (13 mins)
Beauty Boutique by Shoppers Drug Mart -- 1.1 km (13 mins)
Nadim's No Frills -- 1.4 km (16 mins)
Pet Valu -- 1.1 km (13 mins)
Dollar Power -- 1.4 km (17 mins)
Garden Square Variety -- 1.5 km (18 mins)
M&M Food Market -- 1.5 km (18 mins)
Strength Supply -- 1.4 km (17 mins)
Beer Store -- 1.6 km (19 mins)
Sally Beauty -- 1.6 km (20 mins)
"
<redacted>,"M&M Food Market -- 0.9 km (11 mins)
Sobeys Oshawa -- 0.9 km (10 mins)
Walmart Grocery Pickup -- 1.0 km (12 mins)
Real Canadian Superstore -- 1.3 km (16 mins)
","Jeanne Sauvé Public School -- 0.3 km (4 mins)
St. John Bosco Catholic School -- 0.4 km (5 mins)
Maxwell Heights Secondary School -- 0.6 km (8 mins)
Sherwood Public School -- 1.5 km (18 mins)
Elsie MacGill Public School -- 1.1 km (13 mins)
john neil public school -- 1.0 km (13 mins)
St Joseph Catholic School -- 1.4 km (17 mins)
St. Kateri Tekakwitha Catholic School -- 1.3 km (16 mins)
","McDonald's -- 0.7 km (9 mins)
Starbucks -- 0.8 km (10 mins)
Tim Hortons -- 1.0 km (12 mins)
Tim Hortons -- 0.9 km (11 mins)
McDonald's -- 1.1 km (14 mins)
","Shoppers Drug Mart -- 0.9 km (11 mins)
Walmart Pharmacy -- 0.7 km (9 mins)
Sobeys Pharmacy Oshawa -- 0.9 km (11 mins)
Loblaw pharmacy -- 1.1 km (14 mins)
","Michaels -- 0.7 km (8 mins)
Best Buy -- 0.7 km (8 mins)
M&M Food Market -- 0.9 km (11 mins)
Dollarama -- 0.7 km (8 mins)
Dollarama -- 0.7 km (8 mins)
Walmart Supercentre -- 0.7 km (9 mins)
Walking On A Cloud -- 0.8 km (9 mins)
Hart Store -- 0.7 km (9 mins)
Sport Chek -- 0.7 km (9 mins)
Sobeys Oshawa -- 0.9 km (10 mins)
La Vie En Rose Harmony Centre Outlet -- 0.9 km (11 mins)
Mark's -- 0.9 km (12 mins)
HomeSense -- 0.9 km (11 mins)
Marshalls -- 0.9 km (11 mins)
Ricki's -- 1.0 km (12 mins)
Reitmans -- 1.0 km (12 mins)
Urban Barn Oshawa -- 1.0 km (12 mins)
The Home Depot -- 0.9 km (12 mins)
Canadian Tire -- 1.1 km (12 mins)
Winners -- 1.1 km (14 mins)"
<redacted>,no results,"Pierre Elliott Trudeau PS -- 0.5 km (5 mins)
",no results,no results,no results
<redacted>,"OneLove Caribbean Groceries -- 1.3 km (16 mins)
FreshCo King & Wilson -- 1.2 km (16 mins)
","Durham Education Group -- 0.9 km (11 mins)
Durham Christian Academy -- 1.0 km (12 mins)
Vincent Massey PS -- 0.8 km (10 mins)
Eastdale CVI -- 0.9 km (11 mins)
","Tim Hortons -- 1.4 km (18 mins)
","Remedy'sRx - O.M.C. Pharmacy -- 1.1 km (14 mins)
Shoprite Pharmacy -- 1.2 km (15 mins)
King Street Pharmacy -- 1.2 km (16 mins)
I.D.A. - Eastview Pharmacy -- 1.4 km (17 mins)
","Dollarama -- 1.2 km (15 mins)
OneLove Caribbean Groceries -- 1.3 km (16 mins)
FreshCo King & Wilson -- 1.2 km (16 mins)
Plato's Closet - Oshawa, ON -- 1.4 km (19 mins)
Dollarama -- 1.3 km (17 mins)
"
<redacted>,"Metro -- 1.0 km (13 mins)
Sobeys Oshawa -- 1.4 km (19 mins)
","Beau Valley PS -- 1.1 km (13 mins)
Gordon B. Attersley Public School -- 1.2 km (14 mins)
","Starbucks -- 1.4 km (19 mins)
Coffee Culture Café & Eatery -- 1.7 km (20 mins)
","The Medicine Shoppe Pharmacy -- 1.3 km (16 mins)
shoppers drug mart -- 1.3 km (17 mins)
Shoppers Drug Mart -- 1.3 km (17 mins)
Sobeys Pharmacy Oshawa -- 1.4 km (18 mins)
Ritson Pharmacy -- 1.5 km (20 mins)
Shoppers Drug Mart -- 1.7 km (20 mins)
","Dollarama -- 0.9 km (11 mins)
Rogers -- 0.9 km (11 mins)
Value Village -- 0.9 km (11 mins)
The Wine Shop -- 1.0 km (13 mins)
ELDERBERRY CONVENIENCE -- 1.0 km (12 mins)
Beer Store -- 1.2 km (15 mins)
Canadian Tire -- 1.2 km (15 mins)
Oshawa Grand Convenience Store Inc -- 1.4 km (18 mins)
Sobeys Oshawa -- 1.4 km (19 mins)
"
<redacted>,"FreshCo King & Townline -- 1.1 km (13 mins)
Joe & Barb's No Frills -- 1.0 km (11 mins)
M&M Food Market -- 1.2 km (15 mins)
","Logibear Childcare -- 0.5 km (6 mins)
courtice secondary school -- 1.1 km (13 mins)
College Park Elementary School -- 1.1 km (14 mins)
Dr. Emily Stowe Public School -- 1.5 km (18 mins)
College Park Elementary School -- 1.4 km (17 mins)
Courtice North Public School -- 1.6 km (19 mins)
","Critical Hit Gaming Lounge -- 0.9 km (11 mins)
Greenwood Café & Roaster -- 0.9 km (11 mins)
Deadly Grounds Café and Curiosities -- 1.0 km (13 mins)
Tim Hortons -- 1.1 km (14 mins)
McDonald's -- 1.1 km (14 mins)
Golden Gate Eatery & Takeout -- 1.1 km (13 mins)
","Health Central Pharmacy -- 0.7 km (9 mins)
Shoppers Drug Mart -- 0.7 km (9 mins)
Courtice Townline Guardian Pharmacy -- 0.9 km (11 mins)
Walmart Pharmacy -- 1.1 km (13 mins)
APPLETREE PHARMACY -- 1.2 km (15 mins)
IDA Courtice Clinic Pharmacy -- 1.4 km (17 mins)
","Busy Bee Convenience -- 0.3 km (3 mins)
7508247 Canada Inc -- 0.3 km (3 mins)
Beauty Boutique by Shoppers Drug Mart -- 0.7 km (9 mins)
Rogers -- 0.8 km (10 mins)
Sherwin-Williams Paint Store -- 0.8 km (10 mins)
LCBO -- 0.8 km (10 mins)
Daisy Mart -- 0.9 km (11 mins)
Clarington Convenience, 1561 HWY 2, Courtice, -- 0.8 km (10 mins)
Smokey Land Variety -- 1.0 km (12 mins)
FreshCo King & Townline -- 1.1 km (13 mins)
Kingsway Hardware -- 1.1 km (13 mins)
Joe & Barb's No Frills -- 1.0 km (11 mins)
M&M Food Market -- 1.2 km (15 mins)
Walmart Supercentre -- 1.1 km (13 mins)
Mac's -- 1.2 km (16 mins)
The Wine Shop -- 1.1 km (14 mins)
New Rave Convenience -- 1.1 km (14 mins)
Dollarama -- 1.1 km (14 mins)
Plato's Closet - Oshawa, ON -- 1.3 km (15 mins)
Food Worths Variety & Ice Cream -- 1.6 km (19 mins)"
<redacted>,"Halal Meat -- 0.8 km (10 mins)
","3.2 star -- 0.6 km (7 mins)
Lincoln Alexander PS -- 0.9 km (11 mins)
Blaisdale Montessori - Village Campus - Ajax -- 0.6 km (8 mins)
Durham School Of Music -- 0.6 km (7 mins)
Delaney Public School -- 1.1 km (13 mins)
Eagle Ridge Public School -- 1.1 km (13 mins)
Saint Francis De Sales Catholic School -- 1.1 km (14 mins)
Lincoln Avenue PS -- 1.4 km (18 mins)
St Patrick Catholic Elementary School Ajax -- 1.3 km (17 mins)
","Cupcakes Canada -- 0.6 km (7 mins)
Tea Remix -- 0.6 km (7 mins)
Dimpflmeier's Cafe -- 1.0 km (13 mins)
","Pickering Village Pharmacy -- 0.6 km (7 mins)
I.D.A. - The Hope Pharmacy -- 1.0 km (13 mins)
Ajax Guardian Pharmacy/Ajax Walk In Clinic -- 1.0 km (13 mins)
","Couture Consignments -- 0.6 km (7 mins)
Circle K -- 1.0 km (12 mins)
Honest Crook Convenience Store -- 1.0 km (13 mins)
"
<redacted>,"Food Basics -- 1.0 km (12 mins)
Sobeys Ajax -- 1.2 km (14 mins)
","Westney Heights PS -- 0.3 km (4 mins)
Lester B. Pearson Public School -- 1.0 km (12 mins)
Saint Jude Catholic School -- 1.3 km (17 mins)
Applecroft Public School -- 1.4 km (17 mins)
Lincoln Alexander PS -- 1.5 km (19 mins)
","Starbucks -- 1.2 km (14 mins)
","Rexall -- 1.1 km (13 mins)
Shoppers Drug Mart -- 1.0 km (12 mins)
Shoppers Drug Mart -- 1.0 km (12 mins)
Health Square Drug Store -- 1.1 km (13 mins)
Sobeys Pharmacy Ajax -- 1.2 km (15 mins)
","Corner Store -- 0.2 km (3 mins)
The Corner Store -- 1.0 km (13 mins)
Westney At #2 Food Mart -- 1.0 km (13 mins)
Dollarama -- 1.1 km (14 mins)
BSW Beauty - Ajax -- 1.1 km (13 mins)
The Wine Shop -- 1.1 km (14 mins)
Sobeys Ajax -- 1.2 km (14 mins)
Best Way Convenience -- 1.4 km (18 mins)
A & N Convenience -- 1.4 km (18 mins)
"
<redacted>,"Food Basics -- 0.7 km (8 mins)
Longos Grocery, 1 Rossland Rd. E. Ajax -- 1.3 km (17 mins)
Al-Iman Grocers & Kitchen -- 1.3 km (17 mins)
Al - Amin Groceries -- 1.3 km (17 mins)
Longo's Ajax -- 1.5 km (20 mins)
","Dr.Roberta Bondar PS -- 0.3 km (4 mins)
St. Catherine of Siena Catholic School -- 0.5 km (6 mins)
Saint Jude Catholic School -- 0.7 km (9 mins)
Applecroft Public School -- 0.8 km (9 mins)
Lester B. Pearson Public School -- 1.4 km (17 mins)
Saint Teresa of Calcutta Catholic School -- 1.3 km (16 mins)
Terry Fox Public School -- 1.0 km (14 mins)
Westney Heights PS -- 1.5 km (18 mins)
Nottingham Public School -- 1.6 km (20 mins)
","Tim Hortons -- 1.4 km (19 mins)
","Rexall -- 0.9 km (11 mins)
I.D.A - Ajax Community Pharmacy -- 1.4 km (18 mins)
Ajax Pharmachoice -- 1.4 km (18 mins)
","The Corner Store -- 0.8 km (10 mins)
Dollarama -- 1.5 km (19 mins)
"
<redacted>,no results,"Little Blessings Nursery School -- 0.5 km (6 mins)
Sinclair Secondary School -- 0.9 km (11 mins)
Sinclair Secondary School -- 0.9 km (11 mins)
Sinclair Secondary school -- 1.0 km (12 mins)
","Starbucks -- 1.4 km (17 mins)
Second Cup -- 1.6 km (19 mins)
Panera Bread -- 1.6 km (20 mins)
Tim Hortons -- 1.6 km (20 mins)
","The Medicine Shoppe Pharmacy -- 1.4 km (17 mins)
Remedy'sRx - Dryden Medical Pharmacy -- 1.6 km (20 mins)
","Sport Chek -- 0.9 km (10 mins)
Staples -- 0.9 km (10 mins)
HomeSense -- 1.6 km (20 mins)
Party City -- 1.6 km (19 mins)
Kitchen Stuff Plus -- 1.5 km (19 mins)
Winners -- 1.6 km (19 mins)
Dollar Tree -- 1.6 km (19 mins)
OshKosh B'gosh -- 1.6 km (19 mins)
Circle K -- 1.6 km (20 mins)
"
<redacted>,no results,"Dr. Emily Stowe Public School -- 0.9 km (12 mins)
St. Mother Teresa C. E. S. -- 1.2 km (14 mins)
Dr G J MacGillivray Public School -- 1.4 km (17 mins)
","Critical Hit Gaming Lounge -- 0.6 km (8 mins)
Greenwood Café & Roaster -- 0.6 km (8 mins)
Deadly Grounds Café and Curiosities -- 1.4 km (18 mins)
Tim Hortons -- 1.5 km (19 mins)
","Health Central Pharmacy -- 1.1 km (14 mins)
Shoppers Drug Mart -- 1.2 km (15 mins)
Courtice Townline Guardian Pharmacy -- 1.6 km (20 mins)
","Clarington Convenience, 1561 HWY 2, Courtice, -- 0.5 km (6 mins)
7508247 Canada Inc -- 1.0 km (13 mins)
Busy Bee Convenience -- 1.0 km (13 mins)
LCBO -- 1.2 km (15 mins)
Beauty Boutique by Shoppers Drug Mart -- 1.2 km (15 mins)
Daisy Mart -- 1.3 km (16 mins)
Rogers -- 1.3 km (16 mins)
Smokey Land Variety -- 1.4 km (18 mins)
Food Worths Variety & Ice Cream -- 1.3 km (17 mins)
"
<redacted>,"Foodland - Whitby -- 0.5 km (7 mins)
","Pringle Creek PS -- 0.5 km (7 mins)
Glen Dhu Public School -- 1.5 km (19 mins)
Anderson Night School -- 1.2 km (15 mins)
Anderson CVI -- 1.2 km (15 mins)
St Theresa Catholic School -- 1.4 km (18 mins)
","Tim Hortons -- 1.5 km (19 mins)
","Pharmasave Pringle Creek -- 0.5 km (6 mins)
Whitby Community Pharmacy -- 1.5 km (19 mins)
","Anderson Jug City -- 0.4 km (6 mins)
Foodland - Whitby -- 0.5 km (7 mins)
Village Groceries -- 1.5 km (19 mins)
"
<redacted>,"Justin's No Frills -- 1.3 km (15 mins)
Paakiza Supermarket -- 1.5 km (18 mins)
S & P Supermarket -- 1.5 km (18 mins)
","Royal Canadian Montessori School -- 0.9 km (11 mins)
Colonel J.E. Farewell Public School -- 1.4 km (17 mins)
","Tim Hortons -- 1.4 km (16 mins)
","Shoppers Drug Mart -- 1.2 km (14 mins)
West Lynde Pharmacy -- 1.5 km (18 mins)
","Dampney Co -- 5 m (1 min)
Dollarama -- 1.4 km (16 mins)
Justin's No Frills -- 1.3 km (15 mins)
Canaan Food Fair -- 1.6 km (20 mins)
Ideal Linen and Gifts -- 1.5 km (18 mins)
"
<redacted>,"Conroy’s No Frills -- 1.3 km (16 mins)
","Sir Samuel Steele P.S. -- 1.1 km (13 mins)
John Dryden Public School -- 1.0 km (12 mins)
St Mark the Evangelist Catholic Elementary School -- 1.4 km (16 mins)
",no results,"The Medicine Shoppe Pharmacy -- 1.3 km (15 mins)
","Friendly Variety & Videos -- 0.5 km (6 mins)
Liberty News Usa -- 1.2 km (15 mins)
Ren's Pets Whitby -- 1.1 km (13 mins)
Lowe's Home Improvement -- 1.1 km (14 mins)
Conroy’s No Frills -- 1.3 km (16 mins)
"
<redacted>,"Brooklin Village C Store -- 1.4 km (17 mins)
","Winchester PS -- 0.5 km (6 mins)
St Leo Catholic School -- 0.5 km (6 mins)
Blair Ridge Public School -- 1.2 km (15 mins)
St. John Paul II Catholic School -- 1.4 km (18 mins)
Village of Brooklin Cooperative Playschool (VBCP) -- 1.4 km (16 mins)
Brooklin Village PS -- 1.5 km (18 mins)
Brooklin Mill Montessori School -- 1.5 km (18 mins)
Brooklin High School -- 1.5 km (19 mins)
The Calder School -- 1.6 km (20 mins)
","Tim Hortons -- 1.3 km (16 mins)
Tim Hortons -- 1.2 km (15 mins)
The Goodberry -- 1.5 km (17 mins)
","Medical Centre Guardian Pharmacy -- 1.0 km (12 mins)
I.D.A. - Brooklin Pharmacy -- 1.4 km (17 mins)
","Circle K -- 1.2 km (15 mins)
Circle K -- 1.1 km (14 mins)
Global Pet Foods Brooklin -- 1.1 km (14 mins)
Brooklin Village C Store -- 1.4 km (17 mins)
Brooklin Convenience Plus -- 1.4 km (17 mins)
Sears Canada Inc -- 1.6 km (20 mins)
Brooklin Home Hardware -- 1.4 km (17 mins)
Connie's Brooklin Village Shoppe -- 1.5 km (17 mins)
Humphrey's Boutique Brooklin -- 1.6 km (20 mins)
Wholesale Therapeutics-Online Store For Massage and Wellness Supplies -- 1.5 km (19 mins)
"
<redacted>,"Grandview Convenience -- 0.7 km (9 mins)
Food Basics -- 1.1 km (14 mins)
","Harmony Heights Public School -- 0.9 km (10 mins)
Eastdale CVI -- 1.5 km (18 mins)
","Coffee Culture Café & Eatery -- 1.2 km (15 mins)
","Harmony Valley Pharmacy -- 0.7 km (9 mins)
Shoppers Drug Mart -- 1.2 km (15 mins)
","Grandview Convenience -- 0.7 km (9 mins)
The Dollar Store Plus -- 1.1 km (13 mins)
Dollar Mania Bluf -- 1.1 km (14 mins)
Circle K -- 1.2 km (14 mins)
"